Temp Irradiance TheoV PredV TheoP PreP
298.897 4.03 0.372 0.0 0.0111286348604 0.0
299.135 3.85 0.371 0.0 0.0106065556743 0.0
299.985 49.24 0.434 0.6259438952097576 0.160076932894 -23.68741469685689
300.266 67.16 0.442 0.4590420717025293 0.22255438218 0.2185256643359548
300.275 69.84 0.443 0.44957072409903587 0.231969096903 0.23143581861654144
300.433 27.16 0.42 0.4207360104699518 0.0853170914175 0.08531634701097882
300.58 36.08 0.427 0.4294919394455503 0.115364577512 0.11533828024293875
299.772 246.08 0.473 0.5634281119592295 0.875724363261 -0.8194578708386298
299.897 246.81 0.473 0.48133694330068266 0.878827191274 0.875896204451963
299.924 220.61 0.471 0.4702530252388364 0.780818148403 0.7808220855668645
299.933 204.56 0.469 0.465866835839325 0.721052537198 0.7207941159111347
299.028 218.3 0.469 0.4407998722312829 0.769898104971 0.7501025820865813
298.835 239.92 0.471 0.4528853593513853 0.849962547783 0.839909690194198
298.827 220.93 0.469 0.45219635523920676 0.779158849883 0.7710886238442185
298.677 54.09 0.434 0.39488263357157205 0.176048878876 0.16742422712991126
299.264 13.0 0.401 0.40097585836413785 0.0388453272726 0.03884534793333169
299.764 11.45 0.398 0.4072447625032547 0.0339925997916 0.03382590138199366
299.784 9.17 0.393 0.4056296689191896 0.0268364266411 0.026550855357516168
300.495 14.48 0.405 0.415437105530688 0.0437453695959 0.043449978434888716
300.278 122.34 0.457 0.44732671236205057 0.419579110359 0.41803599523478246
299.759 227.71 0.471 0.47725245483975254 0.806904160349 0.8053620795804303
299.845 189.18 0.467 0.46468947906396085 0.663788277783 0.6636730481493714
299.648 194.84 0.467 0.46422863688385174 0.684309915052 0.6840604300103478
299.627 191.62 0.467 0.46307369541674825 0.672334002147 0.6719575758977572
300.381 182.75 0.467 0.470080173509841 0.641150864035 0.6407922310255241
300.62 190.13 0.468 0.4752191356205917 0.669033439592 0.6672611425741447
300.633 210.79 0.471 0.4811968184048965 0.745966795744 0.7414769024740461
300.806 204.37 0.47 0.4794902097963356 0.722445211137 0.7190895533025301
300.812 215.22 0.471 0.4816902721842067 0.762967863697 0.7586543342683691
300.74 201.71 0.47 0.475191021778091 0.712369837244 0.7112872370476371
300.628 196.22 0.469 0.4718814324843219 0.691677537769 0.691362061756762
300.608 113.65 0.455 0.44482033452214864 0.388584147577 0.38678795379226905
300.993 116.08 0.457 0.4498671381374648 0.39787471047 0.39711958565059013
295.357 255.46 0.467 0.4403189655023554 0.897534149827 0.8762373241519386
295.341 248.22 0.466 0.4545597759266744 0.870690487591 0.8659412035386577
295.311 233.18 0.465 0.4538551296203679 0.815074881838 0.8111990761835824
295.277 224.17 0.464 0.45382786700772537 0.781810196021 0.7786873217378439
295.145 242.75 0.465 0.46161667380515237 0.849906037973 0.8493792351544553
295.841 224.31 0.465 0.4591320214702439 0.783816434862 0.7828170123489078
295.815 242.54 0.466 0.46576683355782045 0.851057441335 0.8510481056600264
296.831 220.52 0.466 0.46267149459477896 0.772437047379 0.772123732707723
296.325 212.61 0.464 0.458226648533683 0.741981466308 0.7408979354649496
296.842 132.03 0.453 0.4340479542477016 0.449551587594 0.44327012913208486
296.545 195.65 0.462 0.4550538156706574 0.680190178965 0.6786409139713349
296.585 198.92 0.463 0.45667316279431935 0.692284482087 0.6911502286837531
296.812 225.05 0.466 0.46630431820194407 0.789131817463 0.7891318353665341
297.085 204.11 0.464 0.4603876458712305 0.712549582945 0.7120845316299538
297.007 208.72 0.465 0.4617718595605924 0.729340586328 0.729074635239158
297.036 328.22 0.476 0.5009745342945058 1.1754669827 1.1250119998103882
297.39 338.47 0.477 0.5030266814565929 1.2156234902 1.1599333025683904
297.388 329.09 0.476 0.49770941444101857 1.18014994126 1.1461600587375937
296.391 602.2 0.489 0.5731849114764406 2.22190351592 -0.9456489363585273
297.011 601.48 0.49 0.5468380537856727 2.22375157353 1.4192141672292706
297.019 620.81 0.491 0.5361281499273087 2.29905257998 1.8749550266894501
297.495 602.2 0.491 0.5238452574885692 2.23018612453 2.05599145148454
298.121 763.1 0.498 0.5444029976064862 2.86680671323 2.3014310721285516
298.672 764.86 0.499 0.5327952812127208 2.87906876944 2.638507293285492
298.736 764.34 0.499 0.5253020914542506 2.8776295466 2.749886583634626
298.527 772.03 0.499 0.5214590243975479 2.90603603709 2.816471040688119
298.461 764.3 0.498 0.5171817371858113 2.87479211482 2.8178367429164353
298.334 770.24 0.498 0.5153978592341341 2.89705396188 2.8511984220637276
298.29 775.71 0.499 0.513984790033863 2.91826047686 2.8808268730434685
